Energy (eV),Detection efficiency (%)
1.384839392,0.03555555556
1.423411685,0.04592592593
1.462150733,0.05592592593
1.506299065,0.06888888889
1.548604582,0.08111111111
1.587319697,0.09148148148
1.621719814,0.1014814815
1.660270998,0.1148148148
1.696568421,0.127037037
1.737364842,0.1403703704
1.772641286,0.1518518519
1.815651646,0.1651851852
1.846045815,0.177037037
1.908253188,0.2
1.950895717,0.2155555556
1.984149621,0.2348148148
2.028327202,0.2507407407
2.074516832,0.2651851852
2.127169543,0.2844444444
2.175765317,0.302962963
2.233754797,0.322962963
2.302485714,0.3444444444
2.346318029,0.3585185185
2.386403189,0.3703703704
2.4854828,0.3888888889
2.57087362,0.3948148148
2.703563871,0.4011111111
2.842960651,0.3918518519
2.942783708,0.3822222222
3.054317784,0.3622222222
3.169836611,0.342962963
3.228446841,0.3207407407
3.284109718,0.3022222222
3.347063898,0.2807407407
3.412478827,0.2585185185
3.463242975,0.2422222222
3.509651591,0.2266666667
3.533325464,0.2137037037
3.569441227,0.2
3.593931389,0.1822222222
3.625020761,0.1666666667
3.656652705,0.1503703704
3.675898246,0.1288888889
3.701876325,0.1118518519
3.734869875,0.09851851852
3.748232558,0.08222222222
3.775246847,0.06814814815
3.802653358,0.05185185185
3.83747619,0.04
3.872942699,0.02555555556
