Energy,FastScint,SlowScint
1.771,0.032,0.050
1.791,0.036,0.055
1.816,0.039,0.061
1.834,0.045,0.069
1.857,0.051,0.079
1.878,0.057,0.088
1.901,0.063,0.097
1.916,0.069,0.107
1.933,0.073,0.114
1.951,0.078,0.122
1.970,0.086,0.134
1.988,0.093,0.144
2.010,0.104,0.161
2.025,0.112,0.174
2.040,0.122,0.189
2.056,0.128,0.199
2.074,0.140,0.217
2.091,0.157,0.244
2.106,0.174,0.270
2.122,0.191,0.296
2.133,0.201,0.312
2.143,0.214,0.332
2.155,0.225,0.348
2.164,0.236,0.365
2.174,0.244,0.379
2.181,0.253,0.392
2.190,0.261,0.405
2.196,0.268,0.416
2.207,0.278,0.432
2.217,0.289,0.448
2.230,0.301,0.466
2.243,0.313,0.486
2.254,0.324,0.502
2.264,0.334,0.517
2.274,0.343,0.533
2.286,0.353,0.548
2.296,0.360,0.558
2.310,0.366,0.568
2.319,0.374,0.579
2.329,0.381,0.591
2.342,0.385,0.598
2.354,0.389,0.603
2.372,0.392,0.608
2.389,0.392,0.608
2.405,0.391,0.606
2.421,0.388,0.602
2.431,0.381,0.591
2.444,0.373,0.578
2.450,0.364,0.565
2.453,0.355,0.551
2.460,0.345,0.535
2.467,0.335,0.519
2.471,0.324,0.503
2.475,0.314,0.486
2.479,0.306,0.474
2.485,0.292,0.453
2.491,0.279,0.433
2.496,0.266,0.413
2.499,0.254,0.394
2.506,0.236,0.365
2.510,0.218,0.339
2.515,0.204,0.317
2.519,0.193,0.300
2.522,0.183,0.284
2.526,0.170,0.264
2.531,0.157,0.244
2.536,0.145,0.224
2.539,0.133,0.207
2.543,0.121,0.188
2.548,0.110,0.171
2.557,0.099,0.153
2.565,0.087,0.136
2.571,0.078,0.121
2.580,0.065,0.100
