Energy (eV),Relative fraction
1.385,0.089
1.423,0.114
1.462,0.139
1.506,0.172
1.549,0.202
1.587,0.228
1.622,0.253
1.660,0.286
1.697,0.317
1.737,0.350
1.773,0.379
1.816,0.412
1.846,0.441
1.908,0.499
1.951,0.537
1.984,0.585
2.028,0.625
2.075,0.661
2.127,0.709
2.176,0.755
2.234,0.805
2.302,0.859
2.346,0.894
2.386,0.923
2.485,0.970
2.571,0.984
2.704,1.000
2.843,0.977
2.943,0.953
3.054,0.903
3.170,0.855
3.228,0.800
3.284,0.753
3.347,0.700
3.412,0.645
3.463,0.604
3.510,0.565
3.533,0.533
3.569,0.499
3.594,0.454
3.625,0.416
3.657,0.375
3.676,0.321
3.702,0.279
3.735,0.246
3.748,0.205
3.775,0.170
3.803,0.129
3.837,0.100
3.873,0.064
